"행정구역별",2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"진천군",84,61,59,2,-,23,72.5,70.4,74.6,2.9,-
"괴산군",35,22,22,0,*,12,64.5,63.9,66.3,0.9,*
"음성군",98,73,72,1,*,25,74.5,73.5,78.8,1.3,*
"단양군",24,16,16,0,*,8,68.0,67.3,75.3,1.1,*
"증평군",33,22,22,0,*,10,67.8,66.6,72.6,1.8,*
"천안시",619,400,392,8,-,219,64.7,63.4,68.7,2.0,-
"공주시",97,59,58,1,*,38,61.0,60.1,65.2,1.5,*
"보령시",85,55,55,1,*,29,65.4,64.7,72.2,1.1,*
"아산시",341,230,225,5,-,111,67.4,66.0,70.9,2.1,-
"서산시",155,106,105,1,*,48,68.7,68.1,72.0,1.0,*
"논산시",102,64,63,1,*,37,63.2,61.8,67.6,2.1,*
"계룡시",34,20,19,0,*,14,58.5,57.4,61.3,1.9,*
"당진시",156,115,114,1,*,41,73.7,72.9,75.0,1.0,*
"금산군",50,32,32,0,*,18,64.1,63.3,66.6,1.1,*
"부여군",54,37,37,0,*,18,67.9,67.3,75.1,0.9,*
"서천군",44,30,30,0,*,14,68.5,68.0,74.2,0.8,*
"청양군",28,20,20,0,*,7,73.8,73.3,76.6,0.7,*
"홍성군",93,63,62,1,*,30,67.8,66.6,69.2,1.8,*
"예산군",74,54,54,1,*,19,73.8,72.5,77.0,1.7,*
"태안군",54,40,39,0,*,15,73.0,72.4,75.0,0.8,*
"전주시",562,351,341,10,-,210,62.5,60.7,67.1,2.9,-
"군산시",232,145,142,3,-,87,62.6,61.5,68.1,1.7,-
"익산시",243,150,148,2,-,93,61.8,60.8,65.5,1.6,-
"정읍시",89,59,59,0,*,30,66.2,65.9,70.9,0.5,*
"남원시",65,46,45,1,*,20,70.0,69.3,76.7,1.0,*
"김제시",73,51,50,1,*,22,69.6,68.3,72.4,1.8,*
"완주군",94,60,59,1,*,34,63.9,62.6,65.4,2.0,*
"진안군",21,15,15,0,*,5,74.5,74.1,76.9,0.5,*
"무주군",20,16,16,0,*,5,76.4,76.3,79.3,0.1,*
"장수군",18,13,13,0,*,5,74.6,74.4,72.6,0.2,*
"임실군",21,15,15,0,*,6,70.8,70.5,74.7,0.5,*
"순창군",23,16,16,0,*,6,72.7,72.6,73.6,0.3,*
"고창군",46,33,33,0,*,13,72.0,71.8,76.1,0.3,*
"부안군",40,30,29,0,*,11,73.2,72.8,78.4,0.5,*
"목포시",184,109,106,2,*,76,59.0,57.7,65.7,2.2,*
"여수시",224,144,141,3,-,80,64.4,62.9,69.9,2.4,-
"순천시",230,143,138,5,-,87,62.3,60.1,67.2,3.4,-
"나주시",101,69,68,1,*,32,68.5,67.5,68.7,1.4,*
"광양시",128,88,86,2,-,39,69.2,67.6,71.7,2.3,-
"담양군",37,24,24,0,*,13,64.6,64.0,66.6,1.0,*
"곡성군",24,17,17,0,*,7,70.9,70.1,68.9,1.2,*
"구례군",19,13,13,0,*,6,68.7,67.9,74.3,1.1,*
"고흥군",51,36,36,0,*,15,71.3,70.7,77.6,0.8,*
"보성군",31,23,23,0,*,8,75.2,74.3,76.7,1.2,*
"화순군",52,34,33,1,-,18,65.6,63.5,65.1,3.2,-
