자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-43755,2025.12.1 2:55,2137,KT&G 관악지점,0,2025.12.1 3:24,2136,신림역 8번출구,0,28,3953.07,\N,\N,\N,ST-723,ST-976,일반자전거
SPB-37221,2025.12.1 3:12,2178,서울대학교 정문,0,2025.12.1 3:25,2171,서울대입구역 5번출구,0,13,1853.96,2001,M,내국인,ST-1547,ST-1337,일반자전거
SPB-62338,2025.12.1 3:16,2173,당곡사거리,0,2025.12.1 3:28,2108,은천치안센터,0,11,1770.0,1981,\N,내국인,ST-1268,ST-714,일반자전거
SPB-31927,2025.12.1 3:25,2136,신림역 8번출구,0,2025.12.1 3:35,2108,은천치안센터,0,10,1297.11,1999,F,내국인,ST-976,ST-714,일반자전거
SPB-31270,2025.12.1 3:30,2102,봉림교 교통섬,0,2025.12.1 3:35,2103,신림동 우방아파트,0,5,878.84,1993,M,내국인,ST-702,ST-703,일반자전거
SPB-66837,2025.12.1 3:35,2198,사랑의병원,0,2025.12.1 3:38,2199,신봉천주유소 A,0,2,176.48,2005,M,내국인,ST-2382,ST-2383,일반자전거
SPB-73987,2025.12.1 3:37,2112,서울대입구역 마에스트로,0,2025.12.1 3:40,2108,은천치안센터,0,3,578.64,1998,M,내국인,ST-715,ST-714,일반자전거
SPB-43524,2025.12.1 3:30,2136,신림역 8번출구,0,2025.12.1 3:41,2144,난우길입구,0,11,1693.46,2006,M,내국인,ST-976,ST-709,일반자전거
SPB-65582,2025.12.1 3:42,2127,난곡종점,0,2025.12.1 3:47,2144,난우길입구,0,4,1517.69,1965,M,내국인,ST-707,ST-709,일반자전거
SPB-44771,2025.12.1 3:43,2191,대학동주민센터,0,2025.12.1 3:57,2102,봉림교 교통섬,0,14,2334.36,1999,M,내국인,ST-2375,ST-702,일반자전거
SPB-38874,2025.12.1 4:05,2191,대학동주민센터,0,2025.12.1 4:17,2102,봉림교 교통섬,0,12,2362.36,1976,M,내국인,ST-2375,ST-702,일반자전거
SPB-64152,2025.12.1 4:09,2156,신림푸르지오아파트,0,2025.12.1 4:24,2127,난곡종점,0,14,2210.0,1972,M,내국인,ST-952,ST-707,일반자전거
SPB-73253,2025.12.1 3:52,2136,신림역 8번출구,0,2025.12.1 4:28,2136,신림역 8번출구,0,35,4545.88,\N,\N,\N,ST-976,ST-976,일반자전거
SPB-48156,2025.12.1 4:27,2169,봉천역 2번출구,0,2025.12.1 4:28,2189,봉천역 4번출구,0,1,90.0,1979,M,내국인,ST-1264,ST-2373,일반자전거
SPB-33160,2025.12.1 4:43,2122,낙성대로 입구,0,2025.12.1 4:51,2129,낙성대 과학전시관,0,8,1048.39,\N,\N,\N,ST-719,ST-721,일반자전거
SPB-67995,2025.12.1 4:50,2196,봉천역 3번출구,0,2025.12.1 4:57,2136,신림역 8번출구,0,6,858.47,\N,\N,\N,ST-2380,ST-976,일반자전거
SPB-66757,2025.12.1 3:31,2103,신림동 우방아파트,0,2025.12.1 5:04,2105,미성동 신림체육센터,0,93,1398.33,1994,\N,내국인,ST-703,ST-704,일반자전거
SPB-56270,2025.12.1 4:46,2111,서울대입구역 1번출구,0,2025.12.1 5:07,2176,보라매공원 보도육교,0,21,3769.75,\N,M,내국인,ST-965,ST-1357,일반자전거
SPB-40368,2025.12.1 5:11,2140,신림1교 교차로,0,2025.12.1 5:22,2144,난우길입구,0,11,1160.95,1995,M,내국인,ST-724,ST-709,일반자전거
SPB-64468,2025.12.1 4:28,2136,신림역 8번출구,0,2025.12.1 5:22,2179,양녕로 입구,0,54,2480.0,\N,\N,\N,ST-976,ST-1548,일반자전거
SPB-67995,2025.12.1 5:28,2136,신림역 8번출구,0,2025.12.1 5:34,2196,봉천역 3번출구,0,6,858.61,\N,\N,\N,ST-976,ST-2380,일반자전거
SPB-53756,2025.12.1 5:33,2187,현대시장사거리,0,2025.12.1 5:38,2116,에이스에이존빌딩,0,5,790.0,1988,,내국인,ST-2371,ST-717,일반자전거
SPB-68529,2025.12.1 5:28,2195,은천교회,0,2025.12.1 5:38,2171,서울대입구역 5번출구,0,10,1619.32,1984,M,내국인,ST-2379,ST-1337,일반자전거
SPB-61242,2025.12.1 5:23,2179,양녕로 입구,0,2025.12.1 5:41,2136,신림역 8번출구,0,17,2970.0,\N,\N,\N,ST-1548,ST-976,일반자전거
SPB-39195,2025.12.1 5:48,2170,조원동 강남힐병원,0,2025.12.1 5:51,2105,미성동 신림체육센터,0,2,376.01,\N,\N,\N,ST-1265,ST-704,일반자전거
SPB-66051,2025.12.1 6:00,2195,은천교회,0,2025.12.1 6:04,2169,봉천역 2번출구,0,4,700.0,1994,M,내국인,ST-2379,ST-1264,일반자전거
