대여소_번호,대여소_ID,대여소명,자치구,Capa,일평균_순유입량,순유입량_표준편차,n_days,t_statistic,p_value_two_sided,net_flow_group,반납_우세_비율(%),대여_우세_비율(%),매핑상태
3934,ST-3225,철도교통관제센터 정문 앞,구로구,7,24.15,23.29,304,18.079417687678365,4.513560962078544e-50,+_순유입/과적,88.18,10.47,매핑완료
631,ST-398,답십리역 1번출구,동대문구,15,24.14,36.42,304,11.556707358272583,7.711775845401118e-26,+_순유입/과적,74.66,22.97,매핑완료
5059,ST-2887,화곡2동주민센터,강서구,7,24.09,30.73,304,13.668190764711335,1.844970408123092e-33,+_순유입/과적,78.38,19.26,매핑완료
1220,ST-546,잠실근린공원,송파구,15,24.06,38.23,304,10.973069168881885,8.220943025896394e-24,+_순유입/과적,75.34,22.64,매핑완료
184,ST-342,7번가피자 서교망원점,마포구,9,23.96,31.65,304,13.199269344358239,9.768200620450609e-32,+_순유입/과적,78.04,19.93,매핑완료
779,ST-2005,신정1동 주민센터 앞,양천구,20,23.65,44.74,304,9.21662583949369,5.313879970800735e-18,+_순유입/과적,62.5,34.46,매핑완료
5053,ST-2883,신마곡벽산블루밍메트로오피스텔앞,강서구,25,23.65,32.62,304,12.641074189422065,1.0496362063463458e-29,+_순유입/과적,76.35,20.27,매핑완료
4023,ST-2713,월계역 1번 출구,노원구,10,23.61,27.81,304,14.802388213879226,1.109144676622212e-37,+_순유입/과적,80.07,15.54,매핑완료
4592,ST-2902,신길우성4차아파트,영등포구,14,23.48,29.65,304,13.807345321326817,5.646015011599257e-34,+_순유입/과적,76.69,20.27,매핑완료
1767,ST-2112,방학초등학교 앞,도봉구,10,23.26,26.75,304,15.160820848860723,5.005274656499519e-39,+_순유입/과적,82.43,15.2,매핑완료
2340,ST-821,삼호물산버스정류장(23370) 옆,강남구,17,23.22,31.35,304,12.914020219331986,1.073649212801324e-30,+_순유입/과적,76.01,21.28,매핑완료
4640,ST-3135,원효로2가 교차로,용산구,8,23.09,22.42,304,17.9566416782077,1.3174347785604052e-49,+_순유입/과적,85.47,8.78,매핑완료
906,ST-454,연신내역 5번출구,은평구,10,22.89,30.11,304,13.254758793443512,6.117931076201892e-32,+_순유입/과적,77.36,19.26,매핑완료
1608,ST-735,공릉역 1번 출구 앞,노원구,10,22.8,37.79,304,10.519491496451693,2.8872404812984527e-22,+_순유입/과적,72.97,25.34,매핑완료
933,ST-481,역촌종합시장 버스정류장(예일여고 방면),은평구,15,22.74,32.02,304,12.382431227497177,8.984337042988382e-29,+_순유입/과적,78.04,17.91,매핑완료
3668,ST-2740,성내삼성아파트,강동구,10,22.65,42.56,304,9.279047093157542,3.3703415356097427e-18,+_순유입/과적,67.91,29.39,매핑완료
1141,ST-535,곰달래 문화복지센터 A,강서구,20,22.22,34.63,304,11.187379096214121,1.4968524519002814e-24,+_순유입/과적,71.96,22.97,매핑완료
1195,ST-1712,코오롱One&Only타워,강서구,24,22.22,49.62,304,7.807717414387246,9.569722403147311e-14,+_순유입/과적,71.96,21.28,매핑완료
1282,ST-1413,송파소방서 맞은편(성내4교),송파구,10,22.19,29.62,304,13.06198076396591,3.1018896020457177e-31,+_순유입/과적,80.07,16.89,매핑완료
1981,ST-1243,천왕지구삼거리 앞,구로구,10,22.05,23.28,304,16.514385172692762,3.8682925855125005e-44,+_순유입/과적,85.81,11.15,매핑완료
838,ST-1376,숙대입구역 4번출구,용산구,8,22.01,25.69,304,14.938009458517747,3.4387420062698526e-38,+_순유입/과적,82.43,15.54,매핑완료
1102,ST-508,방화사거리 마을버스 버스정류장,강서구,10,21.73,31.78,304,11.921821780130754,3.9682508064379305e-27,+_순유입/과적,73.31,22.64,매핑완료
2264,ST-935,이수역 1번출구,서초구,9,21.52,29.03,304,12.925043784360359,9.789167116477219e-31,+_순유입/과적,73.99,22.97,매핑완료
2377,ST-1186,수서역 5번출구,강남구,9,21.3,41.13,304,9.02937490857441,2.0616841308645625e-17,+_순유입/과적,66.22,31.76,매핑완료
495,ST-2154,염리초등학교 앞,마포구,10,21.07,23.69,304,15.507302784365047,2.482088686746221e-40,+_순유입/과적,83.78,12.16,매핑완료
3918,ST-2997,이좋은집오피스텔 앞,구로구,10,21.07,21.1,304,17.410805827564356,1.5455702043098502e-47,+_순유입/과적,86.82,9.12,매핑완료
2628,ST-1855,문정역 1번출구,송파구,15,21.03,37.0,304,9.910015652179501,3.0915909099982274e-20,+_순유입/과적,70.27,27.36,매핑완료
