gu,factor,value,unit,source,year
구로구,population_total,406888,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
구로구,area_km2,20.12,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
구로구,population_density_per_km2,20223.1,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
구로구,centroid_lat,37.491451,deg,frontend/public/seoul_gu_simple.geojson,2013
구로구,centroid_lon,126.855047,deg,frontend/public/seoul_gu_simple.geojson,2013
구로구,dist_to_cityhall_km,13.661,km,computed_from_centroid,2013
구로구,registered_foreigners_total,24485,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
구로구,registered_foreigners_ratio_pct,6.018,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
금천구,population_total,233145,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
금천구,area_km2,13.00,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
금천구,population_density_per_km2,17934.2,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
금천구,centroid_lat,37.457857,deg,frontend/public/seoul_gu_simple.geojson,2013
금천구,centroid_lon,126.903655,deg,frontend/public/seoul_gu_simple.geojson,2013
금천구,dist_to_cityhall_km,13.722,km,computed_from_centroid,2013
금천구,registered_foreigners_total,14244,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
금천구,registered_foreigners_ratio_pct,6.110,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
노원구,population_total,548371,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
노원구,area_km2,35.44,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
노원구,population_density_per_km2,15473.2,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
노원구,centroid_lat,37.650407,deg,frontend/public/seoul_gu_simple.geojson,2013
노원구,centroid_lon,127.080656,deg,frontend/public/seoul_gu_simple.geojson,2013
노원구,dist_to_cityhall_km,13.015,km,computed_from_centroid,2013
노원구,registered_foreigners_total,5213,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
노원구,registered_foreigners_ratio_pct,0.951,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
도봉구,population_total,341638,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
도봉구,area_km2,20.70,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
도봉구,population_density_per_km2,16504.3,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
도봉구,centroid_lat,37.668550,deg,frontend/public/seoul_gu_simple.geojson,2013
도봉구,centroid_lon,127.033282,deg,frontend/public/seoul_gu_simple.geojson,2013
도봉구,dist_to_cityhall_km,12.372,km,computed_from_centroid,2013
도봉구,registered_foreigners_total,2950,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
도봉구,registered_foreigners_ratio_pct,0.863,%,computed_from_registered_foreigners_total_and_population_total,2025-09-30
동대문구,population_total,349917,people,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동대문구,area_km2,14.20,km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동대문구,population_density_per_km2,24642.0,people/km2,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9D%98_%ED%96%89%EC%A0%95_%EA%B5%AC%EC%97%AD,2022-05
동대문구,centroid_lat,37.584599,deg,frontend/public/seoul_gu_simple.geojson,2013
동대문구,centroid_lon,127.056913,deg,frontend/public/seoul_gu_simple.geojson,2013
동대문구,dist_to_cityhall_km,7.254,km,computed_from_centroid,2013
동대문구,registered_foreigners_total,20256,people,https://www.immigration.go.kr/bbs/immigration/227/600059/artclView.do,2025-09-30
